c Represent allocation problem as max flow for bipartite graph.
p max 178 1459
a 20 94 2147483647
a 20 95 2147483647
a 20 96 2147483647
a 20 97 2147483647
a 20 98 2147483647
a 20 99 2147483647
a 20 101 2147483647
a 20 102 2147483647
a 20 112 2147483647
a 20 113 2147483647
a 20 114 2147483647
a 20 118 2147483647
a 20 120 2147483647
a 20 122 2147483647
a 20 123 2147483647
a 20 124 2147483647
a 20 135 2147483647
a 20 136 2147483647
a 20 137 2147483647
a 20 138 2147483647
a 20 144 2147483647
a 20 146 2147483647
a 20 148 2147483647
a 20 152 2147483647
a 20 156 2147483647
a 20 157 2147483647
a 20 172 2147483647
a 20 175 2147483647
a 20 176 2147483647
a 20 177 2147483647
a 21 81 2147483647
a 21 94 2147483647
a 21 95 2147483647
a 21 96 2147483647
a 21 97 2147483647
a 21 98 2147483647
a 21 99 2147483647
a 21 101 2147483647
a 21 102 2147483647
a 21 110 2147483647
a 21 111 2147483647
a 21 112 2147483647
a 21 113 2147483647
a 21 114 2147483647
a 21 126 2147483647
a 21 127 2147483647
a 21 128 2147483647
a 21 129 2147483647
a 21 130 2147483647
a 21 131 2147483647
a 21 132 2147483647
a 21 133 2147483647
a 21 134 2147483647
a 21 135 2147483647
a 21 136 2147483647
a 21 137 2147483647
a 21 138 2147483647
a 21 143 2147483647
a 21 144 2147483647
a 21 145 2147483647
a 21 146 2147483647
a 21 147 2147483647
a 21 148 2147483647
a 21 149 2147483647
a 21 150 2147483647
a 21 151 2147483647
a 21 152 2147483647
a 21 171 2147483647
a 21 172 2147483647
a 21 175 2147483647
a 21 176 2147483647
a 21 177 2147483647
a 22 79 2147483647
a 22 80 2147483647
a 22 81 2147483647
a 22 106 2147483647
a 22 107 2147483647
a 22 108 2147483647
a 22 109 2147483647
a 22 110 2147483647
a 22 111 2147483647
a 22 112 2147483647
a 22 113 2147483647
a 22 114 2147483647
a 22 126 2147483647
a 22 127 2147483647
a 22 128 2147483647
a 22 129 2147483647
a 22 130 2147483647
a 22 131 2147483647
a 22 132 2147483647
a 22 133 2147483647
a 22 134 2147483647
a 22 135 2147483647
a 22 136 2147483647
a 22 138 2147483647
a 22 143 2147483647
a 22 144 2147483647
a 22 145 2147483647
a 22 146 2147483647
a 22 147 2147483647
a 22 148 2147483647
a 22 149 2147483647
a 22 150 2147483647
a 22 151 2147483647
a 22 152 2147483647
a 22 171 2147483647
a 22 172 2147483647
a 23 82 2147483647
a 23 83 2147483647
a 23 84 2147483647
a 23 85 2147483647
a 23 86 2147483647
a 23 87 2147483647
a 23 88 2147483647
a 23 89 2147483647
a 23 90 2147483647
a 23 91 2147483647
a 23 154 2147483647
a 24 93 2147483647
a 24 94 2147483647
a 24 95 2147483647
a 24 96 2147483647
a 24 97 2147483647
a 24 98 2147483647
a 24 99 2147483647
a 24 101 2147483647
a 24 102 2147483647
a 24 112 2147483647
a 24 113 2147483647
a 24 114 2147483647
a 24 129 2147483647
a 24 135 2147483647
a 24 136 2147483647
a 24 137 2147483647
a 24 138 2147483647
a 24 144 2147483647
a 24 145 2147483647
a 24 146 2147483647
a 24 148 2147483647
a 24 152 2147483647
a 24 175 2147483647
a 24 176 2147483647
a 24 177 2147483647
a 25 60 2147483647
a 25 93 2147483647
a 25 94 2147483647
a 25 95 2147483647
a 25 96 2147483647
a 25 97 2147483647
a 25 98 2147483647
a 25 99 2147483647
a 25 100 2147483647
a 25 101 2147483647
a 25 102 2147483647
a 25 112 2147483647
a 25 113 2147483647
a 25 114 2147483647
a 25 118 2147483647
a 25 119 2147483647
a 25 120 2147483647
a 25 135 2147483647
a 25 136 2147483647
a 25 137 2147483647
a 25 138 2147483647
a 25 144 2147483647
a 25 148 2147483647
a 25 152 2147483647
a 25 156 2147483647
a 25 157 2147483647
a 25 175 2147483647
a 25 176 2147483647
a 25 177 2147483647
a 26 93 2147483647
a 26 94 2147483647
a 26 95 2147483647
a 26 96 2147483647
a 26 97 2147483647
a 26 98 2147483647
a 26 99 2147483647
a 26 100 2147483647
a 26 101 2147483647
a 26 112 2147483647
a 26 113 2147483647
a 26 114 2147483647
a 26 115 2147483647
a 26 116 2147483647
a 26 117 2147483647
a 26 118 2147483647
a 26 119 2147483647
a 26 120 2147483647
a 26 125 2147483647
a 26 137 2147483647
a 26 155 2147483647
a 26 175 2147483647
a 26 176 2147483647
a 26 177 2147483647
a 27 79 2147483647
a 27 80 2147483647
a 27 81 2147483647
a 27 106 2147483647
a 27 107 2147483647
a 27 108 2147483647
a 27 109 2147483647
a 27 110 2147483647
a 27 111 2147483647
a 27 126 2147483647
a 27 127 2147483647
a 27 128 2147483647
a 27 129 2147483647
a 27 130 2147483647
a 27 131 2147483647
a 27 132 2147483647
a 27 133 2147483647
a 27 134 2147483647
a 27 143 2147483647
a 27 145 2147483647
a 27 146 2147483647
a 27 147 2147483647
a 27 149 2147483647
a 27 150 2147483647
a 27 151 2147483647
a 28 61 2147483647
a 28 93 2147483647
a 28 99 2147483647
a 28 100 2147483647
a 28 115 2147483647
a 28 116 2147483647
a 28 117 2147483647
a 28 118 2147483647
a 28 119 2147483647
a 28 120 2147483647
a 28 125 2147483647
a 28 139 2147483647
a 28 140 2147483647
a 28 155 2147483647
a 28 156 2147483647
a 28 177 2147483647
a 29 60 2147483647
a 29 90 2147483647
a 29 91 2147483647
a 29 93 2147483647
a 29 94 2147483647
a 29 95 2147483647
a 29 96 2147483647
a 29 97 2147483647
a 29 98 2147483647
a 29 99 2147483647
a 29 101 2147483647
a 29 102 2147483647
a 29 112 2147483647
a 29 113 2147483647
a 29 114 2147483647
a 29 118 2147483647
a 29 120 2147483647
a 29 122 2147483647
a 29 135 2147483647
a 29 136 2147483647
a 29 137 2147483647
a 29 138 2147483647
a 29 144 2147483647
a 29 148 2147483647
a 29 152 2147483647
a 29 156 2147483647
a 29 157 2147483647
a 29 172 2147483647
a 29 175 2147483647
a 29 176 2147483647
a 29 177 2147483647
a 30 79 2147483647
a 30 80 2147483647
a 30 81 2147483647
a 30 106 2147483647
a 30 107 2147483647
a 30 108 2147483647
a 30 109 2147483647
a 30 110 2147483647
a 30 111 2147483647
a 30 122 2147483647
a 30 123 2147483647
a 30 124 2147483647
a 30 126 2147483647
a 30 127 2147483647
a 30 128 2147483647
a 30 129 2147483647
a 30 130 2147483647
a 30 131 2147483647
a 30 132 2147483647
a 30 133 2147483647
a 30 134 2147483647
a 30 135 2147483647
a 30 136 2147483647
a 30 138 2147483647
a 30 143 2147483647
a 30 144 2147483647
a 30 145 2147483647
a 30 146 2147483647
a 30 147 2147483647
a 30 148 2147483647
a 30 149 2147483647
a 30 150 2147483647
a 30 151 2147483647
a 30 152 2147483647
a 30 171 2147483647
a 30 172 2147483647
a 31 79 2147483647
a 31 80 2147483647
a 31 81 2147483647
a 31 106 2147483647
a 31 107 2147483647
a 31 108 2147483647
a 31 109 2147483647
a 31 110 2147483647
a 31 111 2147483647
a 31 126 2147483647
a 31 127 2147483647
a 31 128 2147483647
a 31 129 2147483647
a 31 130 2147483647
a 31 131 2147483647
a 31 132 2147483647
a 31 133 2147483647
a 31 134 2147483647
a 31 143 2147483647
a 31 145 2147483647
a 31 146 2147483647
a 31 147 2147483647
a 31 149 2147483647
a 31 150 2147483647
a 31 151 2147483647
a 32 60 2147483647
a 32 81 2147483647
a 32 87 2147483647
a 32 89 2147483647
a 32 90 2147483647
a 32 91 2147483647
a 32 101 2147483647
a 32 102 2147483647
a 32 110 2147483647
a 32 111 2147483647
a 32 122 2147483647
a 32 123 2147483647
a 32 124 2147483647
a 32 136 2147483647
a 32 137 2147483647
a 32 144 2147483647
a 32 146 2147483647
a 32 148 2147483647
a 32 152 2147483647
a 32 154 2147483647
a 32 157 2147483647
a 32 171 2147483647
a 32 172 2147483647
a 33 60 2147483647
a 33 61 2147483647
a 33 93 2147483647
a 33 94 2147483647
a 33 95 2147483647
a 33 96 2147483647
a 33 97 2147483647
a 33 98 2147483647
a 33 99 2147483647
a 33 100 2147483647
a 33 101 2147483647
a 33 102 2147483647
a 33 115 2147483647
a 33 116 2147483647
a 33 118 2147483647
a 33 119 2147483647
a 33 120 2147483647
a 33 121 2147483647
a 33 125 2147483647
a 33 136 2147483647
a 33 137 2147483647
a 33 139 2147483647
a 33 140 2147483647
a 33 156 2147483647
a 33 157 2147483647
a 33 175 2147483647
a 33 176 2147483647
a 33 177 2147483647
a 34 79 2147483647
a 34 80 2147483647
a 34 81 2147483647
a 34 106 2147483647
a 34 107 2147483647
a 34 108 2147483647
a 34 109 2147483647
a 34 110 2147483647
a 34 111 2147483647
a 34 123 2147483647
a 34 124 2147483647
a 34 126 2147483647
a 34 127 2147483647
a 34 128 2147483647
a 34 129 2147483647
a 34 130 2147483647
a 34 131 2147483647
a 34 132 2147483647
a 34 133 2147483647
a 34 134 2147483647
a 34 135 2147483647
a 34 138 2147483647
a 34 143 2147483647
a 34 144 2147483647
a 34 145 2147483647
a 34 146 2147483647
a 34 147 2147483647
a 34 148 2147483647
a 34 149 2147483647
a 34 150 2147483647
a 34 151 2147483647
a 34 152 2147483647
a 34 171 2147483647
a 34 172 2147483647
a 35 93 2147483647
a 35 94 2147483647
a 35 95 2147483647
a 35 96 2147483647
a 35 97 2147483647
a 35 98 2147483647
a 35 100 2147483647
a 35 115 2147483647
a 35 116 2147483647
a 35 117 2147483647
a 35 119 2147483647
a 35 125 2147483647
a 35 155 2147483647
a 35 175 2147483647
a 35 176 2147483647
a 35 177 2147483647
a 36 62 2147483647
a 36 63 2147483647
a 36 64 2147483647
a 36 65 2147483647
a 36 66 2147483647
a 36 67 2147483647
a 36 68 2147483647
a 36 71 2147483647
a 36 74 2147483647
a 36 75 2147483647
a 36 169 2147483647
a 36 170 2147483647
a 37 79 2147483647
a 37 80 2147483647
a 37 81 2147483647
a 37 99 2147483647
a 37 106 2147483647
a 37 107 2147483647
a 37 108 2147483647
a 37 109 2147483647
a 37 110 2147483647
a 37 111 2147483647
a 37 112 2147483647
a 37 113 2147483647
a 37 114 2147483647
a 37 126 2147483647
a 37 127 2147483647
a 37 128 2147483647
a 37 129 2147483647
a 37 130 2147483647
a 37 131 2147483647
a 37 132 2147483647
a 37 133 2147483647
a 37 134 2147483647
a 37 135 2147483647
a 37 136 2147483647
a 37 137 2147483647
a 37 138 2147483647
a 37 143 2147483647
a 37 144 2147483647
a 37 145 2147483647
a 37 146 2147483647
a 37 147 2147483647
a 37 148 2147483647
a 37 149 2147483647
a 37 150 2147483647
a 37 151 2147483647
a 37 152 2147483647
a 37 171 2147483647
a 37 172 2147483647
a 38 62 2147483647
a 38 63 2147483647
a 38 64 2147483647
a 38 65 2147483647
a 38 76 2147483647
a 38 77 2147483647
a 38 78 2147483647
a 39 79 2147483647
a 39 80 2147483647
a 39 81 2147483647
a 39 106 2147483647
a 39 107 2147483647
a 39 108 2147483647
a 39 109 2147483647
a 39 110 2147483647
a 39 111 2147483647
a 39 123 2147483647
a 39 126 2147483647
a 39 127 2147483647
a 39 128 2147483647
a 39 129 2147483647
a 39 130 2147483647
a 39 131 2147483647
a 39 132 2147483647
a 39 133 2147483647
a 39 134 2147483647
a 39 135 2147483647
a 39 138 2147483647
a 39 143 2147483647
a 39 144 2147483647
a 39 145 2147483647
a 39 146 2147483647
a 39 147 2147483647
a 39 148 2147483647
a 39 149 2147483647
a 39 150 2147483647
a 39 151 2147483647
a 39 152 2147483647
a 39 171 2147483647
a 39 172 2147483647
a 40 81 2147483647
a 40 90 2147483647
a 40 91 2147483647
a 40 110 2147483647
a 40 111 2147483647
a 40 122 2147483647
a 40 123 2147483647
a 40 124 2147483647
a 40 126 2147483647
a 40 127 2147483647
a 40 143 2147483647
a 40 145 2147483647
a 40 146 2147483647
a 40 147 2147483647
a 40 149 2147483647
a 40 150 2147483647
a 40 151 2147483647
a 40 154 2147483647
a 40 171 2147483647
a 40 172 2147483647
a 41 60 2147483647
a 41 61 2147483647
a 41 90 2147483647
a 41 91 2147483647
a 41 103 2147483647
a 41 104 2147483647
a 41 105 2147483647
a 41 118 2147483647
a 41 120 2147483647
a 41 121 2147483647
a 41 156 2147483647
a 41 157 2147483647
a 41 158 2147483647
a 41 160 2147483647
a 41 161 2147483647
a 41 163 2147483647
a 41 164 2147483647
a 41 165 2147483647
a 41 166 2147483647
a 41 167 2147483647
a 41 168 2147483647
a 42 61 2147483647
a 42 100 2147483647
a 42 105 2147483647
a 42 118 2147483647
a 42 119 2147483647
a 42 120 2147483647
a 42 125 2147483647
a 42 139 2147483647
a 42 140 2147483647
a 42 156 2147483647
a 42 158 2147483647
a 42 159 2147483647
a 42 160 2147483647
a 42 161 2147483647
a 42 162 2147483647
a 42 163 2147483647
a 42 164 2147483647
a 42 165 2147483647
a 42 166 2147483647
a 42 167 2147483647
a 42 168 2147483647
a 43 81 2147483647
a 43 93 2147483647
a 43 94 2147483647
a 43 95 2147483647
a 43 96 2147483647
a 43 97 2147483647
a 43 98 2147483647
a 43 99 2147483647
a 43 101 2147483647
a 43 102 2147483647
a 43 110 2147483647
a 43 111 2147483647
a 43 112 2147483647
a 43 113 2147483647
a 43 114 2147483647
a 43 118 2147483647
a 43 120 2147483647
a 43 129 2147483647
a 43 135 2147483647
a 43 136 2147483647
a 43 137 2147483647
a 43 138 2147483647
a 43 144 2147483647
a 43 145 2147483647
a 43 146 2147483647
a 43 148 2147483647
a 43 152 2147483647
a 43 157 2147483647
a 43 175 2147483647
a 43 176 2147483647
a 43 177 2147483647
a 44 141 2147483647
a 44 142 2147483647
a 44 173 2147483647
a 44 174 2147483647
a 45 79 2147483647
a 45 80 2147483647
a 45 81 2147483647
a 45 94 2147483647
a 45 95 2147483647
a 45 96 2147483647
a 45 97 2147483647
a 45 98 2147483647
a 45 99 2147483647
a 45 101 2147483647
a 45 102 2147483647
a 45 110 2147483647
a 45 111 2147483647
a 45 112 2147483647
a 45 113 2147483647
a 45 114 2147483647
a 45 122 2147483647
a 45 123 2147483647
a 45 124 2147483647
a 45 126 2147483647
a 45 127 2147483647
a 45 128 2147483647
a 45 129 2147483647
a 45 130 2147483647
a 45 131 2147483647
a 45 132 2147483647
a 45 133 2147483647
a 45 134 2147483647
a 45 135 2147483647
a 45 136 2147483647
a 45 137 2147483647
a 45 138 2147483647
a 45 143 2147483647
a 45 144 2147483647
a 45 145 2147483647
a 45 146 2147483647
a 45 147 2147483647
a 45 148 2147483647
a 45 149 2147483647
a 45 150 2147483647
a 45 151 2147483647
a 45 152 2147483647
a 45 171 2147483647
a 45 172 2147483647
a 46 93 2147483647
a 46 94 2147483647
a 46 95 2147483647
a 46 96 2147483647
a 46 97 2147483647
a 46 98 2147483647
a 46 99 2147483647
a 46 101 2147483647
a 46 102 2147483647
a 46 112 2147483647
a 46 113 2147483647
a 46 114 2147483647
a 46 115 2147483647
a 46 116 2147483647
a 46 117 2147483647
a 46 118 2147483647
a 46 120 2147483647
a 46 135 2147483647
a 46 136 2147483647
a 46 137 2147483647
a 46 138 2147483647
a 46 175 2147483647
a 46 176 2147483647
a 46 177 2147483647
a 47 61 2147483647
a 47 105 2147483647
a 47 121 2147483647
a 47 139 2147483647
a 47 140 2147483647
a 47 156 2147483647
a 47 158 2147483647
a 47 159 2147483647
a 47 160 2147483647
a 47 161 2147483647
a 47 162 2147483647
a 47 163 2147483647
a 47 164 2147483647
a 47 165 2147483647
a 47 166 2147483647
a 47 167 2147483647
a 47 168 2147483647
a 48 60 2147483647
a 48 61 2147483647
a 48 90 2147483647
a 48 91 2147483647
a 48 94 2147483647
a 48 95 2147483647
a 48 96 2147483647
a 48 97 2147483647
a 48 98 2147483647
a 48 99 2147483647
a 48 101 2147483647
a 48 102 2147483647
a 48 118 2147483647
a 48 120 2147483647
a 48 121 2147483647
a 48 122 2147483647
a 48 136 2147483647
a 48 137 2147483647
a 48 156 2147483647
a 48 157 2147483647
a 49 81 2147483647
a 49 94 2147483647
a 49 95 2147483647
a 49 96 2147483647
a 49 97 2147483647
a 49 98 2147483647
a 49 99 2147483647
a 49 101 2147483647
a 49 102 2147483647
a 49 110 2147483647
a 49 111 2147483647
a 49 112 2147483647
a 49 113 2147483647
a 49 114 2147483647
a 49 118 2147483647
a 49 120 2147483647
a 49 122 2147483647
a 49 123 2147483647
a 49 124 2147483647
a 49 126 2147483647
a 49 129 2147483647
a 49 135 2147483647
a 49 136 2147483647
a 49 137 2147483647
a 49 138 2147483647
a 49 143 2147483647
a 49 144 2147483647
a 49 145 2147483647
a 49 146 2147483647
a 49 147 2147483647
a 49 148 2147483647
a 49 149 2147483647
a 49 150 2147483647
a 49 151 2147483647
a 49 152 2147483647
a 49 157 2147483647
a 49 171 2147483647
a 49 172 2147483647
a 49 175 2147483647
a 49 176 2147483647
a 50 61 2147483647
a 50 105 2147483647
a 50 121 2147483647
a 50 139 2147483647
a 50 140 2147483647
a 50 156 2147483647
a 50 158 2147483647
a 50 159 2147483647
a 50 160 2147483647
a 50 161 2147483647
a 50 162 2147483647
a 50 163 2147483647
a 50 164 2147483647
a 50 165 2147483647
a 50 166 2147483647
a 50 167 2147483647
a 50 168 2147483647
a 51 79 2147483647
a 51 80 2147483647
a 51 81 2147483647
a 51 106 2147483647
a 51 107 2147483647
a 51 108 2147483647
a 51 109 2147483647
a 51 110 2147483647
a 51 111 2147483647
a 51 122 2147483647
a 51 123 2147483647
a 51 124 2147483647
a 51 126 2147483647
a 51 127 2147483647
a 51 128 2147483647
a 51 129 2147483647
a 51 130 2147483647
a 51 131 2147483647
a 51 132 2147483647
a 51 133 2147483647
a 51 134 2147483647
a 51 135 2147483647
a 51 136 2147483647
a 51 138 2147483647
a 51 143 2147483647
a 51 144 2147483647
a 51 145 2147483647
a 51 146 2147483647
a 51 147 2147483647
a 51 148 2147483647
a 51 149 2147483647
a 51 150 2147483647
a 51 151 2147483647
a 51 152 2147483647
a 51 171 2147483647
a 51 172 2147483647
a 52 60 2147483647
a 52 61 2147483647
a 52 90 2147483647
a 52 91 2147483647
a 52 99 2147483647
a 52 100 2147483647
a 52 101 2147483647
a 52 102 2147483647
a 52 103 2147483647
a 52 104 2147483647
a 52 105 2147483647
a 52 118 2147483647
a 52 119 2147483647
a 52 120 2147483647
a 52 121 2147483647
a 52 137 2147483647
a 52 139 2147483647
a 52 140 2147483647
a 52 156 2147483647
a 52 157 2147483647
a 52 164 2147483647
a 52 166 2147483647
a 52 167 2147483647
a 53 79 2147483647
a 53 80 2147483647
a 53 81 2147483647
a 53 106 2147483647
a 53 107 2147483647
a 53 108 2147483647
a 53 109 2147483647
a 53 110 2147483647
a 53 111 2147483647
a 53 123 2147483647
a 53 124 2147483647
a 53 126 2147483647
a 53 127 2147483647
a 53 128 2147483647
a 53 129 2147483647
a 53 130 2147483647
a 53 131 2147483647
a 53 132 2147483647
a 53 133 2147483647
a 53 134 2147483647
a 53 135 2147483647
a 53 136 2147483647
a 53 138 2147483647
a 53 143 2147483647
a 53 144 2147483647
a 53 145 2147483647
a 53 146 2147483647
a 53 147 2147483647
a 53 148 2147483647
a 53 149 2147483647
a 53 150 2147483647
a 53 151 2147483647
a 53 152 2147483647
a 53 171 2147483647
a 53 172 2147483647
a 54 153 2147483647
a 54 60 2147483647
a 54 81 2147483647
a 54 83 2147483647
a 54 85 2147483647
a 54 87 2147483647
a 54 88 2147483647
a 54 90 2147483647
a 54 91 2147483647
a 54 111 2147483647
a 54 117 2147483647
a 54 121 2147483647
a 54 128 2147483647
a 54 128 2147483647
a 54 128 2147483647
a 54 132 2147483647
a 54 150 2147483647
a 54 151 2147483647
a 54 153 2147483647
a 54 170 2147483647
a 55 105 2147483647
a 55 139 2147483647
a 55 140 2147483647
a 55 158 2147483647
a 55 159 2147483647
a 55 160 2147483647
a 55 161 2147483647
a 55 162 2147483647
a 55 163 2147483647
a 55 164 2147483647
a 55 165 2147483647
a 55 166 2147483647
